asin,reviewText,summary,price,brand,title,star_review,rating_class,i_words_count,positive_tone_count,negative_tone_count,social_words_count,cognitive_proc_count,allure_count,moralization_count
B000050FDY,great cleaning soultion,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,great product and price ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,great replacement kit,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,expensive  but it works just as advertised,four stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),4,high,0,0,0,0,0,0,0
B000050FDY,excellent value ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,great product,four stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),4,high,0,1,0,0,0,0,0
B000050FDY,doesn t last long ,three stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),3,medium,0,0,0,0,0,0,0
B000050FDY,thank you ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,used them all the time,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,fast and perfect   ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,convenient and great price,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,they keep the shaver in top operating form for more comfort each use ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,1,0,0,0
B000050FDY,theses work very well,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,good quality for  ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,works great ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,my electric shaver is pretty clean  so i guess it s working ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,2,0,0,0,0,0,0
B000050FDY,as advertised,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,great ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,good stuff and i love the bigger case sizes available online,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,1,2,0,0,0,0,0
B000050FDY,good,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,no issues  they do what the cleaner lubricant was designed to do ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,1,0,0,0
B000050FDY,good value,four stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),4,high,0,1,0,0,0,0,0
B000050FDY,does a nice job ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,works great,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,original items,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,love it  every time a clean razor without doing anything,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,manufacturers replacement cant use anything else,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,great price on these ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,great,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,excellent product  outstanding online shopping experience and even better pricing   thank you   ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,perfect for maintaining my device ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,1,0,0,0,0,0,0
B000050FDY,as expected from braun,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,good price and cleans well,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,1,0,0,0,0,0
B000050FDY,exactly what i needed ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,1,0,0,0,0,0,0
B000050FDY,as advertise,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,works well with a lame shaver ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,work well in keeping the shaver clean ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,0,0,0,0,0,0
B000050FDY,excellent support product for a very good electric shaver,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,0,2,0,0,0,0,0
B000050FDY,its just what my husband needed ,five stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),5,high,1,0,0,0,0,0,0
B000050FDY,i thought from the ad that i was ordering replacement  heads  ,three stars,$11.94,Braun,Braun Clean &amp; Renew Refill Cartridges CCR - 2 Count (Packaging May Vary),3,medium,2,0,0,0,1,0,0
